PlantID,PlantCharacteristicName,PlantCharacteristicValue,PlantCharacteristicCategory,CultivarName,SynonymName
16268,Active Growth Period,Spring and Summer,Morphology/Physiology,,
16268,After Harvest Regrowth Rate,Slow,Morphology/Physiology,,
16268,Bloat,None,Morphology/Physiology,,
16268,Coppice Potential,No,Morphology/Physiology,,
16268,Fall Conspicuous,No,Morphology/Physiology,,
16268,Fire Resistant,Yes,Morphology/Physiology,,
16268,Flower Color,Yellow,Morphology/Physiology,,
16268,Flower Conspicuous,No,Morphology/Physiology,,
16268,Foliage Color,Green,Morphology/Physiology,,
16268,Foliage Porosity Summer,Dense,Morphology/Physiology,,
16268,Foliage Porosity Winter,Moderate,Morphology/Physiology,,
16268,Foliage Texture,Medium,Morphology/Physiology,,
16268,Fruit/Seed Color,Green,Morphology/Physiology,,
16268,Fruit/Seed Conspicuous,No,Morphology/Physiology,,
16268,Growth Form,Rhizomatous,Morphology/Physiology,,
16268,Growth Rate,Moderate,Morphology/Physiology,,
16268,"Height, Mature (feet)",3.9,Morphology/Physiology,,
16268,Known Allelopath,No,Morphology/Physiology,,
16268,Leaf Retention,No,Morphology/Physiology,,
16268,Lifespan,Moderate,Morphology/Physiology,,
16268,Low Growing Grass,No,Morphology/Physiology,,
16268,Nitrogen Fixation,None,Morphology/Physiology,,
16268,Resprout Ability,No,Morphology/Physiology,,
16268,Shape and Orientation,Erect,Morphology/Physiology,,
16268,Toxicity,None,Morphology/Physiology,,
16268,Adapted to Coarse Textured Soils,No,Growth Requirements,,
16268,Adapted to Fine Textured Soils,Yes,Growth Requirements,,
16268,Adapted to Medium Textured Soils,Yes,Growth Requirements,,
16268,Anaerobic Tolerance,High,Growth Requirements,,
16268,CaCO3 Tolerance,Low,Growth Requirements,,
16268,Cold Stratification Required,No,Growth Requirements,,
16268,Drought Tolerance,None,Growth Requirements,,
16268,Fertility Requirement,Medium,Growth Requirements,,
16268,Fire Tolerance,None,Growth Requirements,,
16268,"Frost Free Days, Minimum",120,Growth Requirements,,
16268,Hedge Tolerance,None,Growth Requirements,,
16268,Moisture Use,High,Growth Requirements,,
16268,"pH, Maximum",7.2,Growth Requirements,,
16268,"pH, Minimum",5.6,Growth Requirements,,
16268,"Planting Density per Acre, Maximum",4800,Growth Requirements,,
16268,"Planting Density per Acre, Minimum",3450,Growth Requirements,,
16268,"Precipitation, Maximum",65,Growth Requirements,,
16268,"Precipitation, Minimum",16,Growth Requirements,,
16268,"Root Depth, Minimum (inches)",10,Growth Requirements,,
16268,Salinity Tolerance,None,Growth Requirements,,
16268,Shade Tolerance,Intolerant,Growth Requirements,,
16268,"Temperature, Minimum (째F)",-38,Growth Requirements,,
16268,Bloom Period,Late Spring,Reproduction,,
16268,Commercial Availability,Routinely Available,Reproduction,,
16268,Fruit/Seed Abundance,Medium,Reproduction,,
16268,Fruit/Seed Period Begin,Summer,Reproduction,,
16268,Fruit/Seed Period End,Fall,Reproduction,,
16268,Fruit/Seed Persistence,No,Reproduction,,
16268,Propagated by Bare Root,No,Reproduction,,
16268,Propagated by Bulb,No,Reproduction,,
16268,Propagated by Container,No,Reproduction,,
16268,Propagated by Corm,No,Reproduction,,
16268,Propagated by Cuttings,No,Reproduction,,
16268,Propagated by Seed,No,Reproduction,,
16268,Propagated by Sod,No,Reproduction,,
16268,Propagated by Sprigs,Yes,Reproduction,,
16268,Propagated by Tubers,No,Reproduction,,
16268,Seed Spread Rate,Slow,Reproduction,,
16268,Seedling Vigor,High,Reproduction,,
16268,Small Grain,No,Reproduction,,
16268,Vegetative Spread Rate,Moderate,Reproduction,,
16268,Berry/Nut/Seed Product,No,Suitability/Use,,
16268,Christmas Tree Product,No,Suitability/Use,,
16268,Fodder Product,No,Suitability/Use,,
16268,Lumber Product,No,Suitability/Use,,
16268,Naval Store Product,No,Suitability/Use,,
16268,Nursery Stock Product,No,Suitability/Use,,
16268,Palatable Graze Animal,Low,Suitability/Use,,
16268,Palatable Human,No,Suitability/Use,,
16268,Post Product,No,Suitability/Use,,
16268,Pulpwood Product,No,Suitability/Use,,
16268,Veneer Product,No,Suitability/Use,,
31239,Active Growth Period,Spring,Morphology/Physiology,,
31239,After Harvest Regrowth Rate,Moderate,Morphology/Physiology,,
31239,Bloat,None,Morphology/Physiology,,
31239,C:N Ratio,Medium,Morphology/Physiology,,
31239,Coppice Potential,No,Morphology/Physiology,,
31239,Fall Conspicuous,No,Morphology/Physiology,,
31239,Fire Resistant,No,Morphology/Physiology,,
31239,Flower Color,White,Morphology/Physiology,,
31239,Flower Conspicuous,Yes,Morphology/Physiology,,
31239,Foliage Color,Green,Morphology/Physiology,,
31239,Foliage Porosity Summer,Porous,Morphology/Physiology,,
31239,Foliage Porosity Winter,Porous,Morphology/Physiology,,
31239,Foliage Texture,Fine,Morphology/Physiology,,
31239,Fruit/Seed Color,Brown,Morphology/Physiology,,
31239,Fruit/Seed Conspicuous,No,Morphology/Physiology,,
31239,Growth Form,Rhizomatous,Morphology/Physiology,,
31239,Growth Rate,Moderate,Morphology/Physiology,,
31239,"Height, Mature (feet)",3.0,Morphology/Physiology,,
31239,Known Allelopath,No,Morphology/Physiology,,
31239,Leaf Retention,No,Morphology/Physiology,,
31239,Lifespan,Moderate,Morphology/Physiology,,
31239,Low Growing Grass,No,Morphology/Physiology,,
31239,Nitrogen Fixation,None,Morphology/Physiology,,
31239,Resprout Ability,No,Morphology/Physiology,,
31239,Shape and Orientation,Erect,Morphology/Physiology,,
31239,Toxicity,Slight,Morphology/Physiology,,
31239,Adapted to Coarse Textured Soils,Yes,Growth Requirements,,
31239,Adapted to Fine Textured Soils,No,Growth Requirements,,
31239,Adapted to Medium Textured Soils,Yes,Growth Requirements,,
31239,Anaerobic Tolerance,None,Growth Requirements,,
31239,CaCO3 Tolerance,Medium,Growth Requirements,,
31239,Cold Stratification Required,No,Growth Requirements,,
31239,Drought Tolerance,Medium,Growth Requirements,,
31239,Fertility Requirement,Low,Growth Requirements,,
31239,Fire Tolerance,High,Growth Requirements,,
31239,"Frost Free Days, Minimum",100,Growth Requirements,,
31239,Hedge Tolerance,None,Growth Requirements,,
31239,Moisture Use,Medium,Growth Requirements,,
31239,"pH, Maximum",8.0,Growth Requirements,,
31239,"pH, Minimum",6.0,Growth Requirements,,
31239,"Planting Density per Acre, Maximum",19000,Growth Requirements,,
31239,"Planting Density per Acre, Minimum",4800,Growth Requirements,,
31239,"Precipitation, Maximum",26,Growth Requirements,,
31239,"Precipitation, Minimum",8,Growth Requirements,,
31239,"Root Depth, Minimum (inches)",8,Growth Requirements,,
31239,Salinity Tolerance,Low,Growth Requirements,,
31239,Shade Tolerance,Intermediate,Growth Requirements,,
31239,"Temperature, Minimum (째F)",-38,Growth Requirements,,
31239,Bloom Period,Late Spring,Reproduction,,
31239,Commercial Availability,Routinely Available,Reproduction,,
31239,Fruit/Seed Abundance,Medium,Reproduction,,
31239,Fruit/Seed Period Begin,Summer,Reproduction,,
31239,Fruit/Seed Period End,Fall,Reproduction,,
31239,Fruit/Seed Persistence,No,Reproduction,,
31239,Propagated by Bare Root,No,Reproduction,,
31239,Propagated by Bulb,No,Reproduction,,
31239,Propagated by Container,No,Reproduction,,
31239,Propagated by Corm,No,Reproduction,,
31239,Propagated by Cuttings,No,Reproduction,,
31239,Propagated by Seed,Yes,Reproduction,,
31239,Propagated by Sod,No,Reproduction,,
31239,Propagated by Sprigs,Yes,Reproduction,,
31239,Propagated by Tubers,No,Reproduction,,
31239,Seed per Pound,3411818,Reproduction,,
31239,Seed Spread Rate,Moderate,Reproduction,,
31239,Seedling Vigor,High,Reproduction,,
31239,Small Grain,No,Reproduction,,
31239,Vegetative Spread Rate,Rapid,Reproduction,,
31239,Berry/Nut/Seed Product,No,Suitability/Use,,
31239,Christmas Tree Product,No,Suitability/Use,,
31239,Fodder Product,No,Suitability/Use,,
31239,Lumber Product,No,Suitability/Use,,
31239,Naval Store Product,No,Suitability/Use,,
31239,Nursery Stock Product,No,Suitability/Use,,
31239,Palatable Browse Animal,Low,Suitability/Use,,
31239,Palatable Graze Animal,Low,Suitability/Use,,
31239,Palatable Human,No,Suitability/Use,,
31239,Post Product,No,Suitability/Use,,
31239,Protein Potential,Low,Suitability/Use,,
31239,Pulpwood Product,No,Suitability/Use,,
31239,Veneer Product,No,Suitability/Use,,
93135,Active Growth Period,Spring and Summer,Morphology/Physiology,,
93135,Bloat,None,Morphology/Physiology,,
93135,C:N Ratio,High,Morphology/Physiology,,
93135,Coppice Potential,No,Morphology/Physiology,,
93135,Fall Conspicuous,Yes,Morphology/Physiology,,
93135,Fire Resistant,No,Morphology/Physiology,,
93135,Flower Color,Green,Morphology/Physiology,,
93135,Flower Conspicuous,Yes,Morphology/Physiology,,
93135,Foliage Color,Green,Morphology/Physiology,,
93135,Foliage Porosity Summer,Dense,Morphology/Physiology,,
93135,Foliage Porosity Winter,Porous,Morphology/Physiology,,
93135,Foliage Texture,Coarse,Morphology/Physiology,,
93135,Fruit/Seed Color,Brown,Morphology/Physiology,,
93135,Fruit/Seed Conspicuous,Yes,Morphology/Physiology,,
93135,Growth Form,Single Stem,Morphology/Physiology,,
93135,Growth Rate,Rapid,Morphology/Physiology,,
93135,"Height at 20 Years, Maximum (feet)",25,Morphology/Physiology,,
93135,"Height, Mature (feet)",68.0,Morphology/Physiology,,
93135,Known Allelopath,No,Morphology/Physiology,,
93135,Leaf Retention,No,Morphology/Physiology,,
93135,Lifespan,Short,Morphology/Physiology,,
93135,Low Growing Grass,No,Morphology/Physiology,,
93135,Nitrogen Fixation,None,Morphology/Physiology,,
93135,Resprout Ability,Yes,Morphology/Physiology,,
93135,Shape and Orientation,Erect,Morphology/Physiology,,
93135,Toxicity,Severe,Morphology/Physiology,,
93135,Adapted to Coarse Textured Soils,No,Growth Requirements,,
93135,Adapted to Fine Textured Soils,Yes,Growth Requirements,,
93135,Adapted to Medium Textured Soils,Yes,Growth Requirements,,
93135,Anaerobic Tolerance,None,Growth Requirements,,
93135,CaCO3 Tolerance,Medium,Growth Requirements,,
93135,Cold Stratification Required,Yes,Growth Requirements,,
93135,Drought Tolerance,Medium,Growth Requirements,,
93135,Fertility Requirement,Medium,Growth Requirements,,
93135,Fire Tolerance,Low,Growth Requirements,,
93135,"Frost Free Days, Minimum",145,Growth Requirements,,
93135,Hedge Tolerance,None,Growth Requirements,,
93135,Moisture Use,Medium,Growth Requirements,,
93135,"pH, Maximum",7.1,Growth Requirements,,
93135,"pH, Minimum",5.0,Growth Requirements,,
93135,"Planting Density per Acre, Maximum",700,Growth Requirements,,
93135,"Planting Density per Acre, Minimum",300,Growth Requirements,,
93135,"Precipitation, Maximum",60,Growth Requirements,,
93135,"Precipitation, Minimum",30,Growth Requirements,,
93135,"Root Depth, Minimum (inches)",36,Growth Requirements,,
93135,Salinity Tolerance,None,Growth Requirements,,
93135,Shade Tolerance,Tolerant,Growth Requirements,,
93135,"Temperature, Minimum (째F)",-33,Growth Requirements,,
93135,Bloom Period,Mid Spring,Reproduction,,
93135,Commercial Availability,Routinely Available,Reproduction,,
93135,Fruit/Seed Abundance,Medium,Reproduction,,
93135,Fruit/Seed Period Begin,Spring,Reproduction,,
93135,Fruit/Seed Period End,Fall,Reproduction,,
93135,Fruit/Seed Persistence,No,Reproduction,,
93135,Propagated by Bare Root,Yes,Reproduction,,
93135,Propagated by Bulb,No,Reproduction,,
93135,Propagated by Container,Yes,Reproduction,,
93135,Propagated by Corm,No,Reproduction,,
93135,Propagated by Cuttings,No,Reproduction,,
93135,Propagated by Seed,Yes,Reproduction,,
93135,Propagated by Sod,No,Reproduction,,
93135,Propagated by Sprigs,No,Reproduction,,
93135,Propagated by Tubers,No,Reproduction,,
93135,Seed per Pound,58,Reproduction,,
93135,Seed Spread Rate,Slow,Reproduction,,
93135,Seedling Vigor,High,Reproduction,,
93135,Small Grain,No,Reproduction,,
93135,Vegetative Spread Rate,None,Reproduction,,
93135,Berry/Nut/Seed Product,No,Suitability/Use,,
93135,Christmas Tree Product,No,Suitability/Use,,
93135,Fodder Product,No,Suitability/Use,,
93135,Fuelwood Product,Medium,Suitability/Use,,
93135,Lumber Product,Yes,Suitability/Use,,
93135,Naval Store Product,No,Suitability/Use,,
93135,Nursery Stock Product,Yes,Suitability/Use,,
93135,Palatable Browse Animal,Low,Suitability/Use,,
93135,Palatable Graze Animal,Low,Suitability/Use,,
93135,Palatable Human,No,Suitability/Use,,
93135,Post Product,No,Suitability/Use,,
93135,Pulpwood Product,Yes,Suitability/Use,,
93135,Veneer Product,No,Suitability/Use,,
14357,Active Growth Period,Spring and Summer,Morphology/Physiology,,
14357,After Harvest Regrowth Rate,Slow,Morphology/Physiology,,
14357,Bloat,None,Morphology/Physiology,,
14357,C:N Ratio,Medium,Morphology/Physiology,,
14357,Coppice Potential,No,Morphology/Physiology,,
14357,Fall Conspicuous,Yes,Morphology/Physiology,,
14357,Fire Resistant,No,Morphology/Physiology,,
14357,Flower Color,Brown,Morphology/Physiology,,
14357,Flower Conspicuous,No,Morphology/Physiology,,
14357,Foliage Color,Dark Green,Morphology/Physiology,,
14357,Foliage Porosity Summer,Moderate,Morphology/Physiology,,
14357,Foliage Porosity Winter,Porous,Morphology/Physiology,,
14357,Foliage Texture,Fine,Morphology/Physiology,,
14357,Fruit/Seed Color,Brown,Morphology/Physiology,,
14357,Fruit/Seed Conspicuous,No,Morphology/Physiology,,
14357,Growth Form,Rhizomatous,Morphology/Physiology,,
14357,Growth Rate,Moderate,Morphology/Physiology,,
14357,"Height, Mature (feet)",1.3,Morphology/Physiology,,
14357,Known Allelopath,No,Morphology/Physiology,,
14357,Leaf Retention,No,Morphology/Physiology,,
14357,Lifespan,Moderate,Morphology/Physiology,,
14357,Low Growing Grass,No,Morphology/Physiology,,
14357,Nitrogen Fixation,None,Morphology/Physiology,,
14357,Resprout Ability,No,Morphology/Physiology,,
14357,Shape and Orientation,Semi-Erect,Morphology/Physiology,,
14357,Toxicity,None,Morphology/Physiology,,
14357,Adapted to Coarse Textured Soils,Yes,Growth Requirements,,
14357,Adapted to Fine Textured Soils,No,Growth Requirements,,
14357,Adapted to Medium Textured Soils,Yes,Growth Requirements,,
14357,Anaerobic Tolerance,Low,Growth Requirements,,
14357,CaCO3 Tolerance,Low,Growth Requirements,,
14357,Cold Stratification Required,No,Growth Requirements,,
14357,Drought Tolerance,Low,Growth Requirements,,
14357,Fertility Requirement,High,Growth Requirements,,
14357,Fire Tolerance,Medium,Growth Requirements,,
14357,"Frost Free Days, Minimum",80,Growth Requirements,,
14357,Hedge Tolerance,None,Growth Requirements,,
14357,Moisture Use,Medium,Growth Requirements,,
14357,"pH, Maximum",6.6,Growth Requirements,,
14357,"pH, Minimum",4.6,Growth Requirements,,
14357,"Planting Density per Acre, Maximum",4800,Growth Requirements,,
14357,"Planting Density per Acre, Minimum",1200,Growth Requirements,,
14357,"Precipitation, Maximum",60,Growth Requirements,,
14357,"Precipitation, Minimum",36,Growth Requirements,,
14357,"Root Depth, Minimum (inches)",10,Growth Requirements,,
14357,Salinity Tolerance,None,Growth Requirements,,
14357,Shade Tolerance,Tolerant,Growth Requirements,,
14357,"Temperature, Minimum (째F)",-38,Growth Requirements,,
14357,Bloom Period,Summer,Reproduction,,
14357,Commercial Availability,Contracting Only,Reproduction,,
14357,Fruit/Seed Abundance,High,Reproduction,,
14357,Fruit/Seed Period Begin,Summer,Reproduction,,
14357,Fruit/Seed Period End,Fall,Reproduction,,
14357,Fruit/Seed Persistence,No,Reproduction,,
14357,Propagated by Bare Root,No,Reproduction,,
14357,Propagated by Bulb,No,Reproduction,,
14357,Propagated by Container,Yes,Reproduction,,
14357,Propagated by Corm,No,Reproduction,,
14357,Propagated by Cuttings,No,Reproduction,,
14357,Propagated by Seed,No,Reproduction,,
14357,Propagated by Sod,No,Reproduction,,
14357,Propagated by Sprigs,Yes,Reproduction,,
14357,Propagated by Tubers,No,Reproduction,,
14357,Seed Spread Rate,Slow,Reproduction,,
14357,Seedling Vigor,Low,Reproduction,,
14357,Small Grain,No,Reproduction,,
14357,Vegetative Spread Rate,Moderate,Reproduction,,
14357,Berry/Nut/Seed Product,No,Suitability/Use,,
14357,Christmas Tree Product,No,Suitability/Use,,
14357,Fodder Product,No,Suitability/Use,,
14357,Lumber Product,No,Suitability/Use,,
14357,Naval Store Product,No,Suitability/Use,,
14357,Nursery Stock Product,Yes,Suitability/Use,,
14357,Palatable Human,No,Suitability/Use,,
14357,Post Product,No,Suitability/Use,,
14357,Pulpwood Product,No,Suitability/Use,,
14357,Veneer Product,No,Suitability/Use,,
