Id,Symbol,ScientificName,CommonName,Group,RankId,Rank,HasCharacteristics,HasDistributionData,HasImages,HasRelatedLinks,NumImages,ProfileImageFilename,PlantNotes,Durations,GrowthHabits,HasLegalStatuses,LegalStatuses,HasNoxiousStatuses,NoxiousStatuses
31219,ACMIB,Achillea millefolium L. var. borealis (Bong.) Farw.,boreal yarrow,Dicot,200,Variety,False,True,True,True,0,acbo_001_svd.jpg,"{'General_Notes': None, 'Synonym_Notes': None, 'Subordinate_Taxa_Notes': None, 'Legal_Notes': None, 'Noxious_Notes': None, 'Rarity_Notes': None, 'Wetland_Notes': None, 'Related_Links_Notes': None, 'Wildlife_Notes': None, 'Sources_Notes': None, 'Characteristic_Notes': None, 'Pollinator_Notes': None, 'Cultural_Notes': None, 'Ethnobotany_Notes': None}",['Perennial'],['Forb/herb'],False,,False,
31308,ADBI,Adenocaulon bicolor Hook.,American trailplant,Dicot,180,Species,False,True,True,True,0,adbi_002_shp.jpg,"{'General_Notes': None, 'Synonym_Notes': None, 'Subordinate_Taxa_Notes': None, 'Legal_Notes': None, 'Noxious_Notes': None, 'Rarity_Notes': None, 'Wetland_Notes': None, 'Related_Links_Notes': None, 'Wildlife_Notes': None, 'Sources_Notes': None, 'Characteristic_Notes': None, 'Pollinator_Notes': None, 'Cultural_Notes': None, 'Ethnobotany_Notes': None}",['Perennial'],['Forb/herb'],False,,False,
72494,ACRAR,Actaea racemosa L. var. racemosa ,black bugbane,Dicot,200,Variety,False,True,True,True,0,cira_002_svp.jpg,"{'General_Notes': None, 'Synonym_Notes': None, 'Subordinate_Taxa_Notes': None, 'Legal_Notes': None, 'Noxious_Notes': None, 'Rarity_Notes': None, 'Wetland_Notes': None, 'Related_Links_Notes': None, 'Wildlife_Notes': None, 'Sources_Notes': None, 'Characteristic_Notes': None, 'Pollinator_Notes': None, 'Cultural_Notes': None, 'Ethnobotany_Notes': None}",['Perennial'],['Forb/herb'],False,,False,
72491,ACRA7,Actaea racemosa L.,black baneberry,Dicot,180,Species,False,True,False,True,0,,"{'General_Notes': None, 'Synonym_Notes': None, 'Subordinate_Taxa_Notes': None, 'Legal_Notes': None, 'Noxious_Notes': None, 'Rarity_Notes': None, 'Wetland_Notes': None, 'Related_Links_Notes': None, 'Wildlife_Notes': None, 'Sources_Notes': None, 'Characteristic_Notes': None, 'Pollinator_Notes': None, 'Cultural_Notes': None, 'Ethnobotany_Notes': None}",['Perennial'],['Forb/herb'],False,,False,
72501,ACRU2,Actaea rubra (Aiton) Willd.,red baneberry,Dicot,180,Species,False,True,True,True,0,acru2_002_svp.jpg,"{'General_Notes': None, 'Synonym_Notes': None, 'Subordinate_Taxa_Notes': None, 'Legal_Notes': None, 'Noxious_Notes': None, 'Rarity_Notes': None, 'Wetland_Notes': None, 'Related_Links_Notes': None, 'Wildlife_Notes': None, 'Sources_Notes': None, 'Characteristic_Notes': None, 'Pollinator_Notes': None, 'Cultural_Notes': None, 'Ethnobotany_Notes': None}",['Perennial'],['Forb/herb'],False,,False,
72484,ACPA,Actaea pachypoda Elliott,white baneberry,Dicot,180,Species,False,True,True,True,0,acpa_001_svp.jpg,"{'General_Notes': None, 'Synonym_Notes': None, 'Subordinate_Taxa_Notes': None, 'Legal_Notes': None, 'Noxious_Notes': None, 'Rarity_Notes': None, 'Wetland_Notes': None, 'Related_Links_Notes': None, 'Wildlife_Notes': None, 'Sources_Notes': None, 'Characteristic_Notes': None, 'Pollinator_Notes': None, 'Cultural_Notes': None, 'Ethnobotany_Notes': None}",['Perennial'],['Forb/herb'],False,,False,
16268,ACAM,Acorus americanus (Raf.) Raf.,sweetflag,Monocot,180,Species,True,True,True,True,0,acam_001_svp.jpg,"{'General_Notes': None, 'Synonym_Notes': None, 'Subordinate_Taxa_Notes': None, 'Legal_Notes': None, 'Noxious_Notes': None, 'Rarity_Notes': None, 'Wetland_Notes': None, 'Related_Links_Notes': None, 'Wildlife_Notes': None, 'Sources_Notes': None, 'Characteristic_Notes': None, 'Pollinator_Notes': None, 'Cultural_Notes': None, 'Ethnobotany_Notes': None}",['Perennial'],['Forb/herb'],True,,False,
14332,ADAL,Adiantum aleuticum (Rupr.) Paris,Aleutian maidenhair,Fern,180,Species,False,True,True,True,0,adal_001_shp.jpg,"{'General_Notes': None, 'Synonym_Notes': None, 'Subordinate_Taxa_Notes': None, 'Legal_Notes': None, 'Noxious_Notes': None, 'Rarity_Notes': None, 'Wetland_Notes': None, 'Related_Links_Notes': None, 'Wildlife_Notes': None, 'Sources_Notes': None, 'Characteristic_Notes': None, 'Pollinator_Notes': None, 'Cultural_Notes': None, 'Ethnobotany_Notes': None}",['Perennial'],['Forb/herb'],False,,False,
71771,ADFU,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine,Dicot,180,Species,False,True,True,True,0,adfu_002_shp.jpg,"{'General_Notes': None, 'Synonym_Notes': None, 'Subordinate_Taxa_Notes': None, 'Legal_Notes': None, 'Noxious_Notes': None, 'Rarity_Notes': None, 'Wetland_Notes': None, 'Related_Links_Notes': None, 'Wildlife_Notes': None, 'Sources_Notes': None, 'Characteristic_Notes': None, 'Pollinator_Notes': None, 'Cultural_Notes': None, 'Ethnobotany_Notes': None}",['Biennial'],"['Forb/herb', 'Vine']",True,,False,
93147,AEMA2,Aesculus ×marylandica J.R. Booth ex G. Kirchn. [flava × glabra],buckeye,Dicot,180,Species,False,True,False,True,0,,"{'General_Notes': None, 'Synonym_Notes': None, 'Subordinate_Taxa_Notes': None, 'Legal_Notes': None, 'Noxious_Notes': None, 'Rarity_Notes': None, 'Wetland_Notes': None, 'Related_Links_Notes': None, 'Wildlife_Notes': None, 'Sources_Notes': None, 'Characteristic_Notes': None, 'Pollinator_Notes': None, 'Cultural_Notes': None, 'Ethnobotany_Notes': None}",['Perennial'],['Tree'],False,,False,
31239,ACMIO,Achillea millefolium L. var. occidentalis DC.,western yarrow,Dicot,200,Variety,True,True,True,True,0,acla5_002_shp.jpg,"{'General_Notes': None, 'Synonym_Notes': None, 'Subordinate_Taxa_Notes': None, 'Legal_Notes': None, 'Noxious_Notes': None, 'Rarity_Notes': None, 'Wetland_Notes': None, 'Related_Links_Notes': None, 'Wildlife_Notes': None, 'Sources_Notes': None, 'Characteristic_Notes': None, 'Pollinator_Notes': None, 'Cultural_Notes': None, 'Ethnobotany_Notes': None}",['Perennial'],['Forb/herb'],False,,False,
93135,AEGL,Aesculus glabra Willd.,Ohio buckeye,Dicot,180,Species,True,True,True,True,0,aegl_002_shp.jpg,"{'General_Notes': None, 'Synonym_Notes': None, 'Subordinate_Taxa_Notes': None, 'Legal_Notes': None, 'Noxious_Notes': None, 'Rarity_Notes': None, 'Wetland_Notes': None, 'Related_Links_Notes': None, 'Wildlife_Notes': None, 'Sources_Notes': None, 'Characteristic_Notes': None, 'Pollinator_Notes': None, 'Cultural_Notes': None, 'Ethnobotany_Notes': None}",['Perennial'],['Tree'],False,,False,
14357,ADPE,Adiantum pedatum L.,northern maidenhair,Fern,180,Species,True,True,True,True,0,adpe_008_svp.jpg,"{'General_Notes': None, 'Synonym_Notes': None, 'Subordinate_Taxa_Notes': None, 'Legal_Notes': None, 'Noxious_Notes': None, 'Rarity_Notes': None, 'Wetland_Notes': None, 'Related_Links_Notes': None, 'Wildlife_Notes': None, 'Sources_Notes': None, 'Characteristic_Notes': None, 'Pollinator_Notes': None, 'Cultural_Notes': None, 'Ethnobotany_Notes': None}",['Perennial'],['Forb/herb'],False,,False,
